id	nimi	maa	luokka	lat	lon	lahde	lauta_lat	lauta_lon	poikkeama_km	huomio
lontoo	Lontoo	GBR	piste	51.507	-0.128	Wikidata Q84 P625 (fi-wiki: Lontoo)	51.505	-0.115	1	
istanbul	Istanbul	TUR	piste	41.010	28.960	Wikidata Q406 P625 (fi-wiki: Istanbul)	41.010	28.895	5	
dublin	Dublin	IRL	piste	53.350	-6.260	Wikidata Q1761 P625 (fi-wiki: Dublin)	53.368	-6.259	2	
edinburgh	Edinburgh	GBR	piste	55.953	-3.189	Wikidata Q23436 P625 (fi-wiki: Edinburgh)	55.954	-3.187	0	
pariisi	Pariisi	FRA	piste	48.857	2.352	Wikidata Q90 P625 (fi-wiki: Pariisi)	48.845	2.333	2	
lissabon	Lissabon	PRT	piste	38.708	-9.139	Wikidata Q597 P625 (fi-wiki: Lissabon)	38.731	-9.124	3	
madrid	Madrid	ESP	piste	40.417	-3.703	Wikidata Q2807 P625 (fi-wiki: Madrid)	40.404	-3.709	2	
granada	Granada	ESP	piste	37.175	-3.600	Wikidata Q8810 P625 (fi-wiki: Granada)	37.170	-3.604	1	
sevilla	Sevilla	ESP	piste	37.389	-5.995	Wikidata Q8717 P625 (fi-wiki: Sevilla)	37.389	-5.989	1	
amsterdam	Amsterdam	NLD	piste	52.367	4.883	Wikidata Q727 P625 (fi-wiki: Amsterdam)	52.381	4.886	2	
bryssel	Bryssel	BEL	piste	50.847	4.353	Wikidata Q240 P625 (fi-wiki: Bryssel)	50.850	4.352	0	pistemäinen kohde (region of Belgium)
luxemburg	Luxemburg	LUX	piste	49.611	6.130	Wikidata Q1842 P625 (fi-wiki: Luxemburg (kaupunki))	49.613	6.131	0	
berliini	Berliini	DEU	piste	52.517	13.383	Wikidata Q64 P625 (fi-wiki: Berliini)	52.532	13.376	2	
praha	Praha	CZE	piste	50.087	14.421	Wikidata Q1085 P625 (fi-wiki: Praha)	50.098	14.417	1	
kosice	Košice	SVK	piste	48.717	21.250	Wikidata Q25409 P625 (fi-wiki: Košice)	48.717	21.260	1	
ljubljana	Ljubljana	SVN	piste	46.051	14.506	Wikidata Q437 P625 (fi-wiki: Ljubljana)	46.057	14.507	1	
wien	Wien	AUT	piste	48.208	16.372	Wikidata Q1741 P625 (fi-wiki: Wien)	48.198	16.397	2	
varsova	Varsova	POL	piste	52.230	21.011	Wikidata Q270 P625 (fi-wiki: Varsova)	52.229	21.032	1	
krakova	Krakova	POL	piste	50.061	19.937	Wikidata Q31487 P625 (fi-wiki: Krakova)	50.062	19.937	0	
alpit	Alpit	CHE	alue	47.666	7.334	laudan piste (laudaltaAsteiksi, laudan tarkoittama kohta); viitteeksi Wikidata Q1286 P625 (fi-wiki: Alpit): 46.578, 8.615 (alueen keskipiste)	47.666	7.334	155	alue: Wikidatan piste on keskipiste; 7.9. linjaus: alueita ei siirretä pallolla
venetsia	Venetsia	ITA	piste	45.440	12.332	Wikidata Q641 P625 (fi-wiki: Venetsia)	45.460	12.452	10	
